0.0,0,0,0,-1,-1,-1,-1,2364.685,-0.33,-1,-1,-1,-1,-1,-1,-1,-1
0.236,0,0,0,-1,-1,-1,-1,2543.573,-0.329,-1,-1,-1,-1,-1,-1,-1,-1
0.476,0,0,0,-1,-1,-1,-1,2370.508,2.799,-1,-1,-1,-1,-1,-1,-1,-1
0.714,0,0,0,-1,-1,-1,-1,2356.274,-0.341,-1,-1,-1,-1,-1,-1,-1,-1
0.95,0,0,0,-1,-1,-1,-1,2427.118,-0.333,-1,-1,-1,-1,-1,-1,-1,-1
1.185,0,0,0,-1,-1,-1,-1,2245.642,-0.334,-1,-1,-1,-1,-1,-1,-1,-1
1.433,0,0,0,-1,-1,-1,-1,2415.149,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
1.689,0,0,0,-1,-1,-1,-1,2211.029,-0.34,-1,-1,-1,-1,-1,-1,-1,-1
1.945,0,0,0,-1,-1,2398.328,0.498,2350.128,-0.336,-1,-1,-1,-1,-1,-1,-1,-1
2.212,0,0,0,-1,-1,-1,-1,2383.771,-0.339,-1,-1,-1,-1,-1,-1,-1,-1
2.473,0,0,0,-1,-1,-1,-1,2435.205,-0.35,-1,-1,-1,-1,-1,-1,-1,-1
2.758,0,0,0,-1,-1,-1,-1,2406.091,-0.347,-1,-1,-1,-1,-1,-1,-1,-1
3.004,0,0,0,-1,-1,-1,-1,2235.614,-0.348,-1,-1,-1,-1,-1,-1,-1,-1
3.264,0,0,0,-1,-1,-1,-1,2397.357,-0.345,-1,-1,-1,-1,-1,-1,-1,-1
3.519,0,0,0,-1,-1,-1,-1,2397.357,-0.346,-1,-1,-1,-1,-1,-1,-1,-1
3.766,0,0,0,-1,-1,-1,-1,2394.446,-0.344,-1,-1,-1,-1,-1,-1,-1,-1
4.039,0,0,0,-1,-1,-1,-1,2391.534,-0.345,-1,-1,-1,-1,-1,-1,-1,-1
4.299,0,0,0,-1,-1,-1,-1,2225.586,-0.341,-1,-1,-1,-1,-1,-1,-1,-1
4.559,0,0,0,-1,-1,-1,-1,2397.681,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
4.803,0,0,0,-1,-1,-1,-1,2397.681,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
5.053,0,0,0,-1,-1,-1,-1,2395.093,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
5.317,0,0,0,-1,-1,-1,-1,2395.093,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
5.57,0,0,0,-1,-1,-1,-1,2395.093,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
5.825,0,0,0,-1,-1,-1,-1,2383.124,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
6.084,0,0,0,-1,-1,-1,-1,2383.124,-0.344,-1,-1,-1,-1,-1,-1,-1,-1
6.333,0,0,0,-1,-1,-1,-1,2380.536,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
6.585,0,0,0,-1,-1,-1,-1,2392.505,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
6.827,0,0,0,-1,-1,-1,-1,2392.505,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
7.071,0,0,0,-1,-1,-1,-1,2392.505,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
7.325,0,0,0,-1,-1,-1,-1,2392.505,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
7.586,0,0,0,-1,-1,-1,-1,2380.536,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
7.84,0,0,0,-1,-1,-1,-1,2392.505,-0.344,-1,-1,-1,-1,-1,-1,-1,-1
8.095,0,0,0,-1,-1,-1,-1,2392.505,-0.344,-1,-1,-1,-1,-1,-1,-1,-1
8.345,0,0,0,-1,-1,-1,-1,2380.536,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
8.606,0,0,0,-1,-1,-1,-1,2380.536,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
8.85,0,0,0.2,-1,-1,-1,-1,2392.505,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
9.127,0,0,0.2,-1,-1,-1,-1,2380.536,-0.342,-1,-1,-1,-1,-1,-1,-1,-1
9.424,0,0,0.2,-1,-1,-1,-1,2392.828,-0.344,-1,-1,-1,-1,-1,-1,-1,-1
9.664,0,0,0.2,-1,-1,-1,-1,2568.158,-0.343,-1,-1,-1,-1,-1,-1,-1,-1
